ticker,cik,symbol,description,gics_sector,equity_securities,cap_size,sector_revenue_total_(trillions),total_cap_(trillions)
PSAG,1833235,PSAG,Property Solutions Acquisition Corporation II Class A,Financials,Common stocks,Unknown,2.7,46.3
WW,105319,WW,Weight Watchers International Inc,Consumer Discretionary,Common stocks,Small cap,2.9,46.3
BBCP,1703956,BBCP,"Concrete Pumping Holdings, Inc.",Industrials,Common stocks,Small cap,2.7,46.3
DCRD,1848959,DCRD,Decarbonization Plus Acquisition Corporation IV Class A,Financials,Common stocks,Small cap,2.7,46.3
SVM,1340677,SVM,Silvercorp Metals Inc.,Materials,Common stocks,Small cap,0.9,46.3
FISI,862831,FISI,Financial Institutions Inc,Financials,Common stocks,Micro cap,2.7,46.3
PTGX,1377121,PTGX,Protagonist Therapeutics Inc,Health Care,Common stocks,Small cap,2.8,46.3
EVC,1109116,EVC,Entravision Communications Corp Cl,Communication Services,Common stocks,Small cap,1.6,46.3
PLMI,1840317,PLMI,Plum Acquisition Corp. I Class A Ordinary Share,Financials,Common stocks,Small cap,2.7,46.3
SB,1434754,SB,Safe Bulkers Inc,Industrials,Common stocks,Small cap,2.7,46.3
CYBE,768411,CYBE,Cyberoptics Corp,Information Technology,Common stocks,Small cap,5.8,46.3
IRMD,1325618,IRMD,Iradimed Corp,Health Care,Common stocks,Small cap,2.8,46.3
CSTA,1834032,CSTA,Constellation Acquisition Corp I Class A,Financials,Common stocks,Small cap,2.7,46.3
CYH,1108109,CYH,Community Health Systems Inc,Health Care,Common stocks,Small cap,2.8,46.3
ANAC,1829558,ANAC,Arctos NorthStar Acquisition Corp. Class A,Financials,Common stocks,Small cap,2.7,46.3
SLCR,1826553,SLCR,Silver Crest Acquisition Corporation - Class A,Financials,Common stocks,Small cap,2.7,46.3
KPTI,1503802,KPTI,Karyopharm Therapeutics Inc,Health Care,Common stocks,Small cap,2.8,46.3
NIU,1744781,NIU,Niu Technologies Class A ADRs,Consumer Discretionary,ADRs,Micro cap,2.9,46.3
SDAC,1837248,SDAC,Sustainable Development Acquisition I Corp. Class A,Financials,Common stocks,Small cap,2.7,46.3
EGRX,827871,EGRX,Eagle Pharmaceuticals Inc,Health Care,Common stocks,Small cap,2.8,46.3
GOTU,1768259,GOTU,GSX Techedu Inc. ADRs,Consumer Discretionary,ADRs,Small cap,2.9,46.3
BAND,1514416,BAND,Bandwidth Inc.,Communication Services,Common stocks,Small cap,1.6,46.3
NERV,1598646,NERV,Minerva Neurosciences Inc,Health Care,Common stocks,Micro cap,2.8,46.3
BODY,1826889,BODY,"The Beachbody Company, Inc. Class A",Consumer Discretionary,Common stocks,Micro cap,2.9,46.3
AVTE,1798749,AVTE,"Aerovate Therapeutics, Inc.",Health Care,Common stocks,Small cap,2.8,46.3
VIEW,1811856,VIEW,"View, Inc. - Class A",Industrials,Common stocks,Micro cap,2.7,46.3
HCNE,1843205,HCNE,Jaws Hurricane Acquisition Corp. Class A,Financials,Common stocks,Small cap,2.7,46.3
MDXG,1376339,MDXG,"MiMedx Group, Inc",Health Care,Common stocks,Small cap,2.8,46.3
SIER,1844135,SIER,Sierra Lake Acquisition Corp. Class A,Financials,Common stocks,Unknown,2.7,46.3
HT,1063344,HT,Hersha Hospitality Trust,Real Estate,REITs,Micro cap,0.6,46.3
TK,911971,TK,Teekay Corp,Energy,Common stocks,Small cap,2.2,46.3
MVBF,1277902,MVBF,MVB Financial Corp.,Financials,Common stocks,Micro cap,2.7,46.3
SLN,1479615,SLN,Silence Therapeutics Plc ADRs,Health Care,ADRs,Micro cap,2.8,46.3
AAN,1821393,AAN,Aarons Inc,Consumer Discretionary,Common stocks,Micro cap,2.9,46.3
AGGR,1842329,AGGR,Agile Growth Corp. Class A,Financials,Common stocks,Small cap,2.7,46.3
NGMS,1821349,NGMS,NeoGames S.A.,Consumer Discretionary,Common stocks,Small cap,2.9,46.3
ALDX,1341235,ALDX,Aldeyra Therapeutics Inc,Health Care,Common stocks,Small cap,2.8,46.3
SSAA,1830547,SSAA,Science Strategic Acquisition Corp. Alpha - Class A,Financials,Common stocks,Unknown,2.7,46.3
ARGU,1865377,ARGU,Argus Capital Corp. Class A,Financials,Common stocks,Unknown,2.7,46.3
SPWH,1132105,SPWH,Sportsmans Warehouse Holdings Inc,Consumer Discretionary,Common stocks,Micro cap,2.9,46.3
DHCA,1838163,DHCA,DHC Acquisition Corp. Class A ordinary share,Financials,Common stocks,Small cap,2.7,46.3
DNMR,1779020,DNMR,"Danimer Scientific, Inc.",Materials,Common stocks,Micro cap,0.9,46.3
HMCO,1829042,HMCO,HumanCo Acquisition Corp. - Class A,Financials,Common stocks,Unknown,2.7,46.3
TWCB,1845618,TWCB,Bilander Acquisition Corp. - Class A,Financials,Common stocks,Micro cap,2.7,46.3
